Developer_ID,Week_Number,Experience_Years,Remote_Work,Hours_Worked,Tasks_Completed,Code_Review_Score,Project_Familiarity_Percent,Collaboration_Score,Meetings_Attended,Productivity_Score,Role_Level_Junior,Role_Level_Mid,Role_Level_Senior,Programming_Language_C++,Programming_Language_Go,Programming_Language_Java,Programming_Language_JavaScript,Programming_Language_Python
39,15,4.2,0,52.8,7,7.4,52,5.2,1,56.999527719512045,0,0,1,1,0,0,0,0
29,32,4.8,0,34.5,15,8.1,61,7.2,9,77.12980804856576,1,0,0,1,0,0,0,0
15,32,5.2,1,46.9,19,6.6,58,4.6,4,74.27839827751265,0,1,0,0,0,0,0,1
43,24,12.8,1,26.7,10,7.4,73,6.7,3,66.96957791413796,1,0,0,0,0,0,1,0
8,41,2.5,0,29.6,15,8.7,53,8.5,7,83.84234956236466,0,0,1,0,0,0,1,0
21,52,10.8,1,33.8,5,9.4,43,6.1,1,57.62812484817346,1,0,0,0,0,0,1,0
39,49,8.5,0,34.1,10,7.2,87,8.0,5,70.90496166623588,1,0,0,0,1,0,0,0
19,49,4.8,1,41.0,4,5.2,92,8.8,4,57.50841570278576,1,0,0,0,0,1,0,0
23,52,6.6,1,41.4,10,5.8,91,9.6,1,78.73165098030795,0,1,0,0,1,0,0,0
11,12,4.2,1,38.7,15,5.1,85,5.4,9,65.13669221084946,1,0,0,0,0,1,0,0
11,39,9.4,1,39.3,15,8.3,66,6.4,0,80.56735741223984,0,1,0,0,0,0,1,0
24,2,1.7,1,42.6,3,6.7,68,4.9,7,47.226389188892156,0,1,0,0,0,0,1,0
36,3,0.6,1,44.2,8,7.7,86,10.0,1,81.60110951792619,1,0,0,0,1,0,0,0
40,49,9.6,1,33.4,18,7.5,67,9.6,6,86.90351611600292,1,0,0,0,1,0,0,0
24,37,3.3,0,38.2,10,5.4,74,7.2,8,57.810883069741394,1,0,0,0,0,1,0,0
3,49,1.5,0,39.7,3,7.0,47,9.1,8,48.17819527863823,0,0,1,1,0,0,0,0
22,17,6.3,0,42.4,18,6.1,55,7.1,7,81.2652871650769,1,0,0,0,0,1,0,0
2,49,1.2,0,36.1,11,7.1,81,7.7,9,80.5665264930173,0,1,0,0,1,0,0,0
24,2,13.4,0,39.6,15,6.0,75,4.5,8,61.431210931569844,1,0,0,0,1,0,0,0
44,2,0.9,1,40.1,13,9.2,69,8.5,1,78.4234919246507,0,0,1,0,0,0,0,1
30,28,8.9,1,36.5,15,5.9,57,4.8,5,65.35601606648927,1,0,0,0,1,0,0,0
38,23,6.9,0,36.4,12,9.8,41,9.0,3,78.65478048034022,0,0,1,0,0,0,0,1
2,37,10.2,1,40.5,6,7.1,88,8.7,3,70.73484782777497,0,0,1,1,0,0,0,0
21,32,5.3,0,39.3,8,9.2,52,8.3,4,64.14433495699257,1,0,0,0,0,1,0,0
33,33,2.7,0,42.5,9,8.1,43,4.2,2,52.984454816752674,0,1,0,0,0,1,0,0
12,1,14.7,1,34.7,7,8.7,65,5.8,0,65.39043576566814,0,0,1,0,0,0,0,1
22,19,12.7,1,38.2,13,8.8,64,5.6,7,71.60799639896416,1,0,0,0,0,1,0,0
44,2,13.0,1,38.9,15,7.5,69,6.2,4,81.33360498885762,1,0,0,0,1,0,0,0
25,44,4.1,0,44.1,12,7.7,50,4.5,2,67.53679901595191,0,1,0,0,0,0,1,0
49,26,1.1,1,35.3,12,7.6,46,9.6,9,73.47689673816609,0,0,1,0,0,0,0,1
27,32,4.9,0,41.2,13,7.9,70,7.3,6,74.77759326811567,0,0,1,0,0,1,0,0
42,6,8.3,0,41.3,9,5.1,83,5.8,6,70.27790129284102,1,0,0,0,0,0,0,1
28,32,5.2,0,48.2,6,7.0,49,6.4,0,51.411260092031185,1,0,0,0,0,0,0,1
16,4,12.5,1,35.0,4,8.0,78,6.7,8,60.05404916877387,0,1,0,0,0,0,1,0
15,11,4.4,1,36.7,16,8.0,52,7.6,1,74.75155006463447,0,1,0,0,1,0,0,0
47,17,14.5,0,35.3,15,9.0,70,7.1,4,77.83266161130274,0,0,1,0,0,0,0,1
44,38,7.1,1,31.7,14,8.3,46,9.5,4,76.06327200617274,0,0,1,0,0,1,0,0
3,24,12.7,1,48.8,9,10.0,95,7.0,7,85.64661668309013,1,0,0,1,0,0,0,0
37,5,3.3,1,33.8,4,6.4,88,10.0,7,62.6194721522701,0,0,1,0,0,0,0,1
7,52,6.5,0,35.9,15,6.8,81,9.1,6,78.84760965727813,0,1,0,0,0,0,0,1
21,34,10.6,0,46.6,16,6.9,81,5.3,6,78.37218162977287,0,1,0,0,0,0,1,0
9,6,2.5,1,31.2,19,7.3,95,9.6,5,95.77573940712256,1,0,0,0,1,0,0,0
39,22,2.4,0,43.8,11,9.2,75,4.7,5,69.0401331543044,0,1,0,1,0,0,0,0
18,11,14.6,1,32.9,19,6.2,59,8.9,8,75.21685572105885,0,1,0,0,0,1,0,0
4,48,10.9,1,46.2,10,8.9,43,6.3,5,72.59271242256145,0,1,0,1,0,0,0,0
25,16,1.1,1,29.2,4,7.0,93,9.3,1,66.74909064355022,0,1,0,0,0,1,0,0
14,33,6.3,1,31.2,15,8.0,46,9.2,1,91.96869186734119,1,0,0,0,1,0,0,0
50,9,6.8,0,37.3,5,8.2,93,8.8,4,73.50160810270441,1,0,0,0,0,1,0,0
9,6,11.3,0,44.9,18,6.9,40,8.7,3,83.3565986238052,0,0,1,0,0,0,1,0
26,16,4.1,0,39.8,8,7.6,83,5.8,1,64.32397835691516,0,1,0,0,0,0,1,0
2,29,3.2,1,38.3,9,7.1,95,4.5,2,60.823272180715406,0,0,1,0,0,0,1,0
20,3,1.7,1,46.7,12,5.3,84,6.4,6,65.41134507755777,1,0,0,0,0,0,1,0
28,20,6.7,1,50.8,11,7.2,81,5.0,7,60.67853702897085,1,0,0,1,0,0,0,0
47,36,10.5,0,43.4,4,5.5,86,8.2,5,58.85095190365377,1,0,0,0,1,0,0,0
7,19,1.3,1,36.9,17,7.0,98,6.1,4,92.96326248848568,1,0,0,0,0,1,0,0
44,26,13.8,0,37.9,7,8.0,52,9.9,0,66.89543866941435,1,0,0,0,0,1,0,0
8,3,6.9,0,33.6,6,7.9,94,7.8,7,71.32245486195599,1,0,0,0,0,0,1,0
47,19,4.0,0,40.5,6,8.3,61,8.9,2,62.45385464891572,1,0,0,0,0,0,1,0
35,20,1.9,0,31.9,6,5.5,93,4.8,5,52.68766580896325,0,1,0,0,0,0,0,1
14,32,3.2,0,42.8,19,8.3,60,9.2,2,88.2251800771728,0,0,1,0,1,0,0,0
17,7,14.1,0,50.0,14,6.6,61,9.5,6,65.33433482464744,1,0,0,1,0,0,0,0
36,52,9.8,1,43.6,19,7.0,67,6.9,6,83.01733325040695,0,1,0,0,0,1,0,0
50,41,8.0,1,37.7,12,9.3,48,7.6,8,73.34225868798877,0,1,0,0,0,0,0,1
40,33,10.0,0,42.6,3,5.0,65,8.6,4,54.52930499380818,0,0,1,0,0,0,0,1
4,40,6.8,0,48.1,16,7.9,48,5.0,7,75.77719126334645,1,0,0,0,0,1,0,0
2,39,11.1,1,47.9,17,8.0,54,7.0,9,82.344764495195,0,0,1,1,0,0,0,0
6,18,1.2,0,35.0,14,7.0,49,6.4,9,62.22981888441061,1,0,0,0,0,0,0,1
42,40,8.7,0,42.6,6,6.2,63,4.9,7,51.79748653035347,0,1,0,0,0,0,0,1
4,1,2.8,1,39.2,5,6.2,97,6.2,0,68.31296982740797,0,1,0,0,1,0,0,0
29,11,2.2,0,44.0,14,9.4,96,4.4,4,84.09933925354541,0,1,0,1,0,0,0,0
18,28,5.5,0,41.9,9,7.2,81,4.2,2,72.34296806532498,0,1,0,0,0,0,0,1
26,25,1.8,0,28.2,13,6.7,47,4.8,0,75.19483055559931,0,0,1,1,0,0,0,0
44,50,1.9,1,38.3,3,7.2,63,9.8,3,56.95765864854179,1,0,0,0,0,1,0,0
34,23,5.0,1,41.0,8,8.3,55,7.3,7,59.51530127459714,1,0,0,0,0,0,1,0
10,31,14.7,1,32.8,17,5.7,88,9.8,2,83.49268917290526,0,0,1,0,0,0,0,1
36,30,3.0,0,42.9,17,7.2,65,6.6,9,69.7193208994839,1,0,0,0,1,0,0,0
14,42,0.7,0,32.4,13,7.9,66,5.9,1,71.60798550292239,0,1,0,0,0,1,0,0
31,35,11.6,1,36.0,4,9.7,76,7.0,8,68.33832724878123,1,0,0,1,0,0,0,0
48,7,12.2,0,46.7,16,6.3,43,6.6,9,57.179812123743794,0,1,0,0,0,1,0,0
15,16,5.5,0,35.6,4,6.8,89,4.6,4,48.21273299643126,0,0,1,0,0,0,0,1
8,26,7.2,0,42.9,6,6.9,63,7.8,6,57.26434279174003,1,0,0,1,0,0,0,0
14,48,9.9,0,31.2,19,8.0,58,5.3,1,79.3140739968915,0,0,1,0,0,0,1,0
23,52,1.2,0,50.4,5,6.8,75,7.7,8,54.16357027879889,1,0,0,0,0,1,0,0
40,49,14.3,1,38.5,15,7.7,99,7.9,8,82.13835162788848,0,1,0,0,0,0,0,1
21,2,13.4,0,40.5,11,8.9,78,4.9,3,71.31229889969127,0,0,1,0,1,0,0,0
16,1,4.3,1,40.9,9,8.5,49,4.4,3,56.952726519451296,1,0,0,1,0,0,0,0
45,48,0.7,0,43.0,17,7.2,64,8.7,5,79.24393393072225,0,1,0,0,0,1,0,0
18,12,14.0,1,32.4,13,9.3,57,6.8,9,79.07154872960615,0,0,1,0,0,1,0,0
47,5,7.8,0,40.0,4,7.8,58,4.3,9,52.34827088930173,0,0,1,0,0,0,1,0
24,37,8.3,1,36.7,17,7.7,75,10.0,9,80.69728327376295,1,0,0,0,0,0,1,0
26,32,10.4,0,31.6,16,5.2,49,4.3,5,49.70201300363558,1,0,0,0,1,0,0,0
25,9,9.4,1,44.9,13,9.9,72,8.2,0,91.81687424785466,1,0,0,0,1,0,0,0
45,41,14.2,0,38.2,5,5.6,94,9.9,8,55.25599790723929,0,1,0,0,0,0,0,1
41,35,14.2,1,41.2,19,6.2,89,5.4,1,85.7637241922987,1,0,0,0,0,0,0,1
29,19,13.1,0,40.9,14,5.3,44,4.9,4,52.671640634858925,0,0,1,0,1,0,0,0
15,48,9.7,1,38.3,17,8.2,86,4.7,8,87.68877492629835,0,0,1,0,1,0,0,0
45,16,12.1,1,49.9,18,6.1,88,5.8,3,94.71833947650765,1,0,0,1,0,0,0,0
1,3,10.3,0,39.8,7,5.9,74,4.6,2,55.61403454602669,1,0,0,0,0,0,1,0
25,20,8.8,0,32.2,8,5.4,83,8.2,6,61.72948675770242,0,0,1,0,0,0,0,1
7,24,2.4,1,38.0,7,5.5,73,4.4,5,49.789302124049684,0,1,0,0,0,0,1,0
9,33,12.3,0,42.5,5,7.9,72,7.1,7,62.70899655656456,1,0,0,0,0,0,1,0
24,24,12.4,1,42.7,3,8.4,94,10.0,2,71.83843375467293,1,0,0,0,1,0,0,0
1,52,9.6,1,34.6,8,7.0,60,8.9,4,69.81749226776432,0,0,1,1,0,0,0,0
44,11,12.4,1,44.6,17,7.4,56,7.7,9,75.16041738700959,1,0,0,0,0,1,0,0
8,49,9.9,0,31.2,4,8.4,61,5.8,3,57.20058853202323,0,1,0,1,0,0,0,0
24,8,3.5,1,45.7,5,5.1,87,7.7,3,53.88765966646901,0,0,1,1,0,0,0,0
11,36,4.5,1,33.4,19,6.6,76,7.2,3,80.61142175964973,1,0,0,0,0,0,1,0
17,38,3.6,0,38.9,14,9.9,54,6.6,9,76.9949228949827,0,0,1,1,0,0,0,0
8,40,6.0,0,45.3,17,7.9,74,4.8,7,73.98743634811457,1,0,0,0,0,0,0,1
35,20,1.1,0,40.6,14,6.3,67,9.3,5,82.26863498871295,1,0,0,0,0,0,1,0
35,35,9.5,0,44.1,18,7.6,46,6.7,2,76.0903981099209,1,0,0,0,0,0,0,1
33,48,5.4,1,43.1,10,6.7,71,5.2,9,62.01772970343679,0,1,0,0,0,1,0,0
5,25,10.0,1,46.4,16,7.7,50,6.2,4,72.48288850620139,0,1,0,0,0,0,1,0
42,35,6.1,1,45.3,19,5.6,49,6.5,5,76.48531375218755,0,0,1,0,0,1,0,0
39,25,10.4,1,37.7,10,5.7,48,9.0,4,60.08001713272321,1,0,0,0,0,0,1,0
41,29,5.4,0,43.2,17,5.7,53,8.4,5,69.71394362571232,1,0,0,0,1,0,0,0
28,18,4.3,1,32.4,16,9.7,52,8.6,7,87.61886370475924,0,1,0,1,0,0,0,0
7,46,7.7,1,39.7,9,8.7,96,4.1,6,67.32292189043389,1,0,0,0,1,0,0,0
9,18,10.5,0,44.1,5,5.8,64,6.5,4,52.629924703612296,0,1,0,0,0,1,0,0
8,2,5.6,1,40.7,14,5.9,41,6.9,9,61.05578532184781,1,0,0,1,0,0,0,0
12,35,14.1,1,42.2,5,8.7,74,4.1,5,49.96031743115772,0,0,1,0,0,0,1,0
34,16,1.1,1,38.9,16,5.8,46,5.6,3,73.71589298528127,1,0,0,1,0,0,0,0
33,41,6.6,1,45.6,17,6.2,60,8.6,8,81.48378877720543,1,0,0,0,0,0,0,1
48,36,14.5,1,39.6,16,9.8,57,4.8,3,78.0651951222338,0,1,0,1,0,0,0,0
23,33,8.4,1,37.7,9,6.3,42,7.2,0,60.04889606749399,1,0,0,0,0,0,0,1
24,4,6.6,0,44.4,19,8.3,81,5.3,6,91.91009741581469,1,0,0,1,0,0,0,0
37,33,8.7,0,33.0,14,9.9,93,4.1,6,79.21480832068802,0,1,0,0,0,0,0,1
35,14,8.9,1,42.5,6,6.9,78,5.4,3,56.09057747404725,0,0,1,0,0,1,0,0
44,21,11.1,1,34.8,11,5.1,80,9.9,2,73.31816250003686,0,0,1,0,1,0,0,0
40,48,2.4,0,46.4,8,6.2,88,8.8,7,64.00454468222708,0,1,0,0,0,0,1,0
22,20,4.1,1,38.7,18,9.2,50,9.8,4,95.48545998493509,0,1,0,1,0,0,0,0
27,8,8.9,1,40.7,4,9.3,78,6.9,9,59.95549609846282,0,1,0,0,1,0,0,0
35,7,13.1,1,42.1,10,8.8,63,4.7,6,61.479820625030136,0,1,0,0,0,0,1,0
1,3,8.6,0,30.4,13,5.6,99,7.3,3,78.74319414936997,0,1,0,0,0,0,1,0
35,17,4.0,1,36.7,15,9.0,85,6.7,3,80.18934675284328,0,0,1,0,0,0,0,1
37,33,10.4,0,45.2,19,9.6,58,9.1,7,100.0,0,0,1,0,0,1,0,0
47,48,11.2,1,44.3,10,8.0,43,4.6,7,66.21248181790102,0,1,0,0,0,1,0,0
14,12,4.0,0,41.4,16,9.7,65,6.9,1,89.96747738460506,1,0,0,0,1,0,0,0
3,51,6.0,0,33.3,17,9.1,77,4.9,1,88.14665510909953,0,1,0,0,0,1,0,0
1,22,8.2,1,42.9,8,8.3,81,5.9,2,69.8122070890965,1,0,0,1,0,0,0,0
5,22,7.7,0,43.6,13,7.9,71,8.4,2,77.25452607040546,0,1,0,0,0,1,0,0
26,46,6.1,1,40.2,15,6.7,78,6.9,0,80.98654822840422,0,1,0,0,1,0,0,0
14,30,4.8,0,46.1,3,5.8,84,6.3,2,47.184336947710754,0,0,1,0,0,1,0,0
39,38,1.9,1,36.6,8,8.0,85,6.4,5,69.8190920922009,1,0,0,1,0,0,0,0
27,38,1.3,1,37.5,11,6.6,75,6.8,7,71.23923471515648,1,0,0,0,0,0,0,1
9,45,14.4,0,27.6,10,9.3,79,8.7,9,74.70956949508333,0,0,1,0,1,0,0,0
15,51,12.8,1,44.6,13,10.0,76,9.4,5,84.52449102922641,0,0,1,0,0,0,0,1
15,8,5.6,1,41.6,11,8.8,72,9.7,4,74.13761487676048,0,0,1,0,0,0,0,1
26,27,14.4,0,31.6,19,5.5,75,8.7,3,92.68977616782844,0,0,1,0,0,0,0,1
42,27,10.3,1,31.2,14,6.4,42,5.9,2,63.82167983078896,1,0,0,0,0,0,1,0
13,34,7.5,1,35.6,16,5.5,48,8.1,3,71.80630481991689,1,0,0,0,0,0,1,0
32,21,7.6,0,44.0,17,8.3,47,6.6,6,80.00077792497864,0,1,0,0,0,0,0,1
39,30,1.7,0,38.5,18,8.8,72,5.5,0,89.21103821444969,0,1,0,0,1,0,0,0
49,33,1.8,1,36.0,3,9.6,98,9.0,6,73.13280047840536,0,0,1,1,0,0,0,0
32,28,9.2,1,35.0,12,7.2,45,4.2,0,61.10335040080836,0,0,1,1,0,0,0,0
4,47,8.5,0,34.7,10,9.5,80,9.4,1,77.10666030764544,0,0,1,0,0,1,0,0
30,33,3.6,0,30.3,3,9.4,78,6.8,3,55.33167345513843,0,1,0,0,1,0,0,0
37,5,14.2,1,34.0,4,6.6,43,7.8,0,49.10372383578577,0,1,0,0,0,0,1,0
23,48,11.8,0,34.6,3,9.3,52,8.0,8,51.54074762662688,0,1,0,0,0,0,0,1
39,19,2.1,1,43.4,3,6.9,88,9.4,5,59.081916473461206,0,1,0,0,0,1,0,0
45,4,14.0,1,39.2,11,6.5,99,7.8,0,83.43789405379992,0,1,0,1,0,0,0,0
15,35,14.6,1,35.9,15,8.2,41,7.7,0,76.31360897058156,0,1,0,0,0,0,1,0
43,49,14.9,1,51.5,3,6.6,99,4.4,5,50.01174569332721,0,1,0,0,0,0,1,0
29,17,1.3,1,36.7,15,8.2,44,7.1,3,76.01800611872105,0,0,1,0,0,0,0,1
36,44,11.2,0,45.8,9,8.0,83,4.9,3,64.87187504393968,0,0,1,1,0,0,0,0
13,28,8.4,0,48.1,4,7.8,66,8.4,5,58.56304382140903,0,0,1,0,1,0,0,0
32,30,10.7,0,32.2,8,6.9,71,7.1,6,64.80434611240675,0,0,1,0,0,0,1,0
7,29,14.5,0,40.4,9,7.7,60,8.1,8,69.72375527381656,0,1,0,0,0,0,0,1
22,46,10.5,1,37.4,16,8.0,47,4.3,9,74.51606599869513,1,0,0,0,1,0,0,0
28,6,12.6,1,37.0,17,7.7,77,4.5,4,89.78426110365508,0,1,0,1,0,0,0,0
2,35,13.1,1,42.8,4,7.2,47,8.3,8,54.44679723086219,1,0,0,0,0,0,1,0
42,41,12.7,1,36.9,12,5.1,89,4.4,3,75.57239450674653,0,0,1,0,1,0,0,0
45,37,6.7,0,37.5,14,7.9,42,4.4,9,60.517590959701785,0,1,0,0,1,0,0,0
6,24,3.7,1,39.2,19,5.8,93,4.1,1,92.15642451212291,0,0,1,0,1,0,0,0
28,29,6.3,1,38.1,10,8.2,83,9.7,2,77.69811972890204,0,1,0,0,0,0,1,0
28,49,13.4,0,34.1,13,8.8,97,8.4,0,87.18990534618483,0,0,1,0,0,0,1,0
44,46,2.6,0,44.0,5,7.5,42,6.1,5,50.00063726288564,1,0,0,0,0,1,0,0
44,31,7.9,0,45.2,8,7.7,61,5.8,5,59.30689644420635,1,0,0,1,0,0,0,0
20,35,3.9,0,41.7,11,9.8,45,6.1,0,73.02920198363252,1,0,0,0,0,0,0,1
30,33,8.9,1,38.1,8,9.2,41,8.6,2,65.09985998755779,0,1,0,0,1,0,0,0
11,52,13.0,1,36.5,11,9.6,62,8.0,4,81.34981086535686,1,0,0,0,0,1,0,0
28,21,13.3,0,36.5,9,9.1,83,5.1,2,68.3358248268941,0,1,0,0,0,0,0,1
25,32,3.9,1,51.8,11,5.5,41,5.0,9,55.47805199126446,1,0,0,0,0,1,0,0
39,23,13.7,1,44.7,14,5.7,77,4.6,2,76.3386180976188,1,0,0,0,0,0,1,0
33,33,9.1,1,35.8,10,7.6,56,8.0,9,63.714488150961294,0,1,0,0,1,0,0,0
1,3,5.6,0,40.8,10,6.2,74,8.6,2,73.57191708989588,0,1,0,0,0,0,0,1
27,18,10.8,1,38.2,17,7.4,73,5.6,4,82.79579644451593,1,0,0,0,0,0,0,1
13,25,7.5,0,42.9,9,7.0,62,4.1,4,68.86443441109876,0,1,0,0,0,0,0,1
41,42,6.0,1,42.7,13,7.7,69,4.5,3,67.87584717577525,1,0,0,0,0,0,0,1
3,31,10.7,1,45.4,18,8.7,91,9.8,0,100.0,0,1,0,0,0,0,0,1
39,3,4.1,1,35.7,6,8.6,47,5.8,4,48.66994454111723,0,0,1,0,0,1,0,0
6,40,5.3,0,40.5,8,7.6,61,8.6,9,61.22070794631594,0,0,1,0,1,0,0,0
8,46,6.8,1,31.3,5,9.1,83,7.7,4,69.06696418798454,0,0,1,0,0,0,1,0
27,24,4.2,0,33.7,11,7.2,97,6.3,3,81.06579984544891,0,0,1,0,0,0,1,0
9,50,6.4,0,44.4,12,9.5,75,5.2,5,69.27033317507899,0,0,1,0,0,0,1,0
37,32,8.8,0,35.2,16,5.4,44,4.7,9,65.83045320370556,1,0,0,0,0,0,1,0
33,47,11.2,1,35.8,13,9.8,52,7.7,3,79.38388271758522,0,0,1,0,0,1,0,0
42,22,11.6,1,40.0,14,8.3,68,8.6,6,73.09236173303846,0,0,1,1,0,0,0,0
44,23,12.4,1,43.5,14,6.9,70,7.9,6,76.40793422974394,0,0,1,0,1,0,0,0
24,2,11.3,1,34.7,15,6.0,86,7.2,1,87.64580616489107,0,0,1,0,0,0,0,1
